idmunicipio,municipio,regiao,populacao,janeiro_notificados,janeiro_autoctones,janeiro_importados,fevereiro_notificados,fevereiro_autoctones,fevereiro_importados,marco_notificados,marco_autoctones,marco_importados,abril_notificados,abril_autoctones,abril_importados,maio_notificados,maio_autoctones,maio_importados,junho_notificados,junho_autoctones,junho_importados,julho_notificados,julho_autoctones,julho_importados,agosto_notificados,agosto_autoctones,agosto_importados,setembro_notificados,setembro_autoctones,setembro_importados,outubro_notificados,outubro_autoctones,outubro_importados,novembro_notificados,novembro_autoctones,novembro_importados,dezembro_notificados,dezembro_autoctones,dezembro_importados,total_notificados,total_autoctones,total_importados
1,Aparecida,Vale Historico, 49217, 4, 1, 0, 6, 0, 0, 32, 11, 6, 48, 16, 1, 97, 35, 0, 21, 4, 0, 6, 1, 0, 8, 4, 0, 3, 0, 0, 13, 2, 1, 40, 2, 4, 97, 19, 2, 375, 95, 14
2,Arapeэ,Vale Historico,а2472,а0,а0,а0,а0,а0,а0,а0,а0,а0,а4,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а1,а0,а0,а5,а0,а0
3,Areias,Vale Historico,а3754,а1,а0,а0,а0,а0,а0,а3,а2,а0,а2,а0,а0,а0,а0,а0,а2,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а1,а0,а0,а0,а0,а0,а0,а0,а0,а9,а1,а0
4,Bananal,Vale Historico, 10423, 0, 0, 0, 1, 0, 0, 1, 0, 0, 9, 0, 0, 13, 1, 0, 4, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 1, 2
5,Caчapava,Alto do Vale do Paraiba, 88346, 10, 1, 0, 22, 5, 2, 130, 41, 4, 634, 129, 12, 713, 199, 5, 334, 108, 1, 81, 20, 0, 12, 2, 0, 29, 0, 0, 45, 2, 0, 24, 1, 0, 32, 0, 0, 2066, 508, 24
6,Cachoeira Paulista,Vale Historico, 31225, 8, 0, 0, 6, 2, 0, 15, 7, 0, 69, 35, 0, 86, 46, 0, 69, 28, 2, 16, 7, 1, 5, 2, 0, 10, 1, 0, 1, 0, 0, 11, 2, 1, 13, 2, 0, 309, 132, 4
7,Campos do Jordуo,Regiao Serrana, 48997, 2, 0, 0, 4, 0, 0, 2, 0, 1, 4, 0, 0, 5, 0, 2, 1, 0, 0, 2, 0, 0, 2, 0, 0, 10, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 4
8,Canas,Vale Historico, 4733, 2, 0, 0, 0, 0, 0, 4, 1, 0, 6, 0, 0, 2, 1, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 3, 1, 2, 24, 3, 2
9,Caraguatatuba,Litoral Norte, 108998, 35, 2, 0, 485, 34, 0, 1090, 161, 1, 2732, 929, 3, 2477, 1204, 3, 1022, 647, 0, 269, 174, 2, 142, 82, 2, 73, 9, 0, 80, 7, 0, 46, 3, 0, 59, 2, 0, 8510, 3254, 11
10,Cruzeiro,Vale Historico, 78581, 5, 2, 1, 9, 0, 0, 33, 17, 0, 99, 67, 0, 203, 136, 1, 80, 52, 0, 24, 10, 0, 6, 0, 0, 17, 0, 0, 16, 4, 0, 14, 5, 0, 47, 17, 0, 553, 310, 2
11,Cunha,Vale Historico, 21697, 0, 0, 0, 1, 0, 1, 1, 0, 0, 4, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 1
12,Guaratinguetс,Vale Historico, 115446, 13, 0, 0, 11, 0, 0, 60, 7, 4, 124, 21, 1, 278, 66, 4, 128, 28, 1, 42, 7, 0, 22, 2, 1, 36, 3, 1, 45, 2, 2, 78, 13, 2, 115, 30, 4, 952, 179, 20
13,Igaratс,Alto do Vale do Paraiba, 9075, 1, 0, 0, 3, 0, 0, 2, 0, 1, 5, 0, 1, 5, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 24, 0, 3
14,Ilhabela,Litoral Norte, 31036, 35, 2, 0, 87, 14, 1, 171, 23, 0, 188, 32, 4, 218, 34, 2, 188, 30, 2, 110, 18, 2, 75, 2, 1, 53, 2, 0, 62, 3, 0, 60, 3, 0, 55, 0, 0, 1302, 163, 12
15,Jacareэ,Alto do Vale do Paraiba, 220103, 52, 0, 1, 89, 15, 3, 179, 26, 9, 460, 89, 13, 801, 148, 37, 423, 46, 9, 167, 7, 3, 93, 1, 0, 78, 0, 0, 84, 0, 0, 112, 0, 0, 122, 3, 1, 2660, 335, 76
16,Jambeiro,Alto do Vale do Paraiba, 5844, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 4, 0, 0, 3, 0, 0, 1, 0, 0, 3, 0, 0, 2, 0, 0, 1, 0, 0, 2, 0, 0, 21, 0, 0
17,Lagoinha,Regiao Serrana, 4818, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 10, 0, 0
18,Lavrinhas,Vale Historico, 6882, 2, 0, 0, 6, 5, 0, 37, 26, 3, 57, 46, 0, 67, 46, 1, 19, 18, 0, 5, 3, 0, 1, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 197, 145, 4
19,Lorena,Vale Historico, 84653, 8, 0, 0, 29, 5, 0, 88, 41, 0, 132, 61, 2, 392, 199, 2, 318, 98, 1, 56, 13, 0, 48, 13, 0, 26, 3, 0, 32, 7, 1, 50, 14, 0, 67, 35, 0, 1246, 489, 6
20,MonteiroаLobato,Alto do Vale do Paraiba,а4298,а1,а0,а0,а1,а0,а0,а3,а0,а0,а1,а0,а0,а1,а0,а0,а0,а0,а0,а0,а0,а0,а1,а0,а0,а2,а0,а0,а2,а0,а0,а2,а0,а0,а0,а0,а0,а14,а0,а0
21,Natividade da Serra,Regiao Serrana, 6679, 1, 0, 0, 0, 0, 0, 2, 0, 0, 7, 0, 0, 7, 1, 0, 0, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 26, 1, 0
22,Paraibuna,Alto do Vale do Paraiba, 17809, 6, 0, 0, 7, 1, 0, 7, 0, 0, 12, 1, 1, 12, 0, 0, 8, 0, 0, 3, 0, 0, 3, 0, 0, 10, 0, 0, 3, 0, 0, 7, 0, 1, 4, 0, 0, 82, 2, 2
23,Pindamonhangaba,Regiao Serrana, 155957, 58, 2, 1, 72, 9, 1, 156, 28, 1, 356, 46, 0, 378, 51, 0, 237, 20, 0, 96, 13, 0, 70, 1, 0, 51, 4, 1, 56, 1, 0, 75, 4, 0, 107, 15, 0, 1712, 194, 4
24,Piquete,Vale Historico, 13826, 0, 0, 0, 1, 0, 0, 13, 6, 0, 18, 8, 0, 19, 4, 0, 6, 2, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 62, 20, 0
25,Potim,Vale Historico, 20042, 4, 0, 0, 11, 1, 0, 11, 1, 1, 75, 12, 8, 140, 59, 20, 115, 39, 12, 45, 26, 0, 45, 28, 1, 39, 14, 1, 231, 184, 0, 890, 269, 2, 930, 100, 1, 2536, 733, 46
26,Queluz,Vale Historico,а12051,а1,а0,а0,а0,а0,а0,а1,а0,а0,а8,а1,а3,а5,а0,а2,а3,а0,а1,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а20,а1,а6
27,Redenчуo da Serra,Regiao Serrana, 3847, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 12, 0, 0
28,Roseira,Vale Historico, 10142, 0, 0, 0, 0, 0, 0, 5, 1, 0, 2, 0, 0, 6, 0, 0, 6, 0, 0, 5, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 11, 0, 2, 9, 1, 0, 46, 2, 2
29,SantaаBranca,Alto do Vale do Paraiba,а13979,а7,а0,а0,а0,а0,а0,а4,а0,а0,а17,а5,а1,а34,а3,а5,а23,а2,а3,а0,а0,а0,а2,а0,а0,а2,а0,а0,а2,а0,а0,а1,а0,а0,а3,а0,а0,а95,а10,а9
30,Santo Ant. do Pinhal,Regiao Serrana, 6549, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1
31,Sуo Bento do Sapucaэ,Regiao Serrana, 10481, 3, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1
32,Sуo Josщ do Barreiro,Vale Historico, 4068, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0
33,SуoаJosщаdosаCampos,Alto do Vale do Paraiba,а672556,а591,а23,а9,а597,а34,а5,а1069,а56,а9,а1464,а77,а16,а1869,а148,а28,а1304,а77,а15,а726,а49,а9,а631,а26,а4,а721,а8,а4,а751,а17,а8,а664,а30,а3,а639,а11,а8,а11026,а556,а118
34,SуoаLuэsаParaitinga,Regiao Serrana,а10473,а1,а0,а0,а1,а0,а0,а3,а0,а1,а3,а1,а0,а11,а0,а3,а6,а0,а1,а6,а0,а0,а1,а0,а0,а0,а0,а0,а2,а0,а0,а1,а0,а0,а1,а0,а0,а36,а1,а5
35,SуoаSebastiуo,Litoral Norte,а80861,а67,а7,а0,а218,а57,а0,а710,а87,а1,а1444,а159,а1,а1123,а549,а1,а376,а289,а0,а165,а121,а0,а89,а44,а0,а119,а14,а0,а147,а17,а0,а154,а12,а0,а155,а15,а0,а4767,а1371,а3
36,Silveiras,Vale Historico,а5998,а0,а0,а0,а2,а0,а0,а2,а0,а0,а8,а0,а0,а17,а0,а0,а1,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а0,а2,а0,а0,а0,а0,а0,а32,а0,а0
37,Taubatщ,Regiao Serrana, 293782, 143, 2, 6, 153, 7, 4, 219, 13, 4, 328, 27, 6, 558, 54, 9, 300, 25, 3, 155, 24, 4, 123, 9, 0, 123, 7, 0, 166, 13, 0, 135, 4, 0, 141, 21, 1, 2544, 206, 37
38,Tremembщ,Regiao Serrana,а43736,а18,а0,а0,а20,а0,а1,а28,а2,а0,а36,а3,а0,а64,а3,а4,а44,а6,а3,а12,а3,а0,а10,а3,а1,а7,а0,а0,а16,а0,а0,а18,а0,а0,а13,а0,а0,а286,а20,а9
39,Ubatuba,Litoral Norte,а83890,а22,а1,а0,а245,а26,а0,а507,а72,а1,а1278,а191,а0,а948,а577,а1,а388,а331,а0,а180,а170,а1,а69,а44,а0,а23,а0,а0,а58,а1,а0,а55,а2,а0,а29,а0,а0,а3802,а1415,а3
